,model_name,dim1_rm,dim2_sent_len,dim3_sent_num,dim4_pattern,dim5_SDPs,dim6_keywords,overall_accuracy,overall_precision,overall_f1_score
0,True-False-False-False-True-False,True,False,False,False,True,False,0.6845454545454546,0.7108610036219761,0.7495124021872561
1,True-False-False-False-False-True,True,False,False,False,False,True,0.7036363636363643,0.7579574647697064,0.7842810954960581
2,True-False-False-False-False-False,True,False,False,False,False,False,0.7557737770503734,0.7957506564022602,0.8324295821685652
3,True-False-False-statement-True-False,True,False,False,statement,True,False,0.7434885556432521,0.9032360029176588,0.7974547672436441
4,True-False-False-statement-False-False,True,False,False,statement,False,False,0.7157142857142855,0.7820211940850162,0.8056520495052154
5,True-False-False-question-True-False,True,False,False,question,True,False,0.5728571428571428,0.6593382071309866,
6,True-False-False-question-False-True,True,False,False,question,False,True,0.6117142857142861,0.7029060941857025,
7,True-False-False-question-False-False,True,False,False,question,False,False,0.6545660805445269,0.7411377851935129,
8,True-False-15-False-False-True,True,False,15,False,False,True,0.6145714285714285,0.700946497437156,0.7098159152317169
9,True-False-15-False-False-False,True,False,15,False,False,False,0.6399999999999999,0.7161283820349724,0.7344784414624872
10,True-False-15-statement-True-False,True,False,15,statement,True,False,0.4854285714285713,0.5921922576530739,
11,True-False-15-statement-False-True,True,False,15,statement,False,True,0.5456608054452635,0.6662280308182345,
12,True-False-15-question-True-False,True,False,15,question,True,False,0.3822857142857142,0.4860739629419987,
13,True-False-15-question-False-True,True,False,15,question,False,True,0.4499999999999997,0.5800623653366495,
14,True-False-15-question-False-False,True,False,15,question,False,False,0.4851428571428573,0.6197713259301771,
15,True-False-50-False-True-False,True,False,50,False,True,False,0.64322178105502,0.6670917865495437,
16,True-False-50-False-False-False,True,False,50,False,False,False,0.7117142857142859,0.7667187770578457,0.7971377825132329
17,True-False-50-statement-True-False,True,False,50,statement,True,False,0.5728571428571427,0.6589925360206568,
18,True-False-50-statement-False-True,True,False,50,statement,False,True,0.6385714285714289,0.714529216154863,
19,True-False-50-statement-False-False,True,False,50,statement,False,False,0.6534316505955755,0.7385702192855659,
20,True-False-50-question-False-True,True,False,50,question,False,True,0.5640000000000003,0.6668991319514694,
21,True-False-50-question-False-False,True,False,50,question,False,False,0.5802857142857144,0.6947703976302643,
22,True-5-False-False-False-False,True,5,False,False,False,False,0.7097142857142857,0.7437886807378973,0.7808519356738166
23,True-5-False-statement-False-False,True,5,False,statement,False,False,0.6653431650595582,0.7098962785005779,0.7341501038555861
24,True-5-15-False-False-False,True,5,15,False,False,False,0.5862857142857142,0.6455842116690217,
25,True-5-15-statement-False-False,True,5,15,statement,False,False,0.5122857142857143,0.6099220146615038,
26,True-5-15-question-False-False,True,5,15,question,False,False,0.3697142857142858,0.4896721987110669,
27,True-5-50-False-False-False,True,5,50,False,False,False,0.6965399886557003,0.7377441990737859,0.7659775221123607
28,True-5-50-question-False-False,True,5,50,question,False,False,0.5488571428571428,0.6468648511065664,
29,True-15-False-False-False-False,True,15,False,False,False,False,0.7634285714285721,0.7968215554834686,0.8310241792445644
30,True-15-False-statement-False-False,True,15,False,statement,False,False,0.7168571428571431,0.7773814818393275,0.7996420269216084
